Compound Id,Final Compound Concentration, LmPTR1 [µM],Avg % Inhibition (slope), LmPTR1,STD % Inhibition (slope), LmPTR1,Flag for Interference, LmPTR1,Final Compound Concentration, TbPTR1 [µM],Avg % Inhibition (slope), TbPTR1,STD % Inhibition (slope), TbPTR1,Flag for Interference, TbPTR1,Final Compound Concentration, hERG [µM],Avg % Inhibition, hERG,STD % Inhibition , hERG,Flag for Interference, hERG,Final Compound Concentration, CYP1A2 [µM],Avg % Inhibition, CYP1A2,STD % Inhibition, CYP1A2,Final Compound Concentration, CYP2C9 [µM],Avg % Inhibition, CYP2C9,STD % Inhibition, CYP2C9,Final Compound Concentration, CYP2C19 [µM],Avg % Inhibition, CYP2C19,STD % Inhibition, CYP2C19,Final Compound Concentration, CYP2D6 [µM],Avg % Inhibition, CYP2D6,STD % Inhibition, CYP2D6,Final Compound Concentration, CYP3A4 [µM],Avg % Inhibition, CYP3A4,STD % Inhibition, CYP3A4,Final Compound Concentration, A549 [µM],Avg % Cell Growth, A549*,STD % Cell Growth, A549,Final Compound Concentration, W1-38 [µM],Avg % Cell Growth, W1-38*,STD % Cell Growth, W1-38,Final Compound Concentration, Mitochondria [µM],Avg % Toxicity Mitochondria**,STD % Toxicity, Mitochondria,,
NMT-F0096,50,3.69,0.20,No,50,8.37,1.23,No,10,35.68,7.14,No,10,23.96,4.79,10,26.25,1.34,10,5.76,7.43,10,36.46,4.44,10,18.61,4.22,10,117.49,3.93,10,129.04,57.35,10,-8.30,4.49,,
NMT-F0097,50,5.78,2.10,No,50,72.96,1.13,No,10,52.65,11.59,No,10,60.37,4.49,10,46.92,4.44,10,22.48,4.66,10,53.57,0.65,10,25.61,6.32,10,112.28,9.50,10,95.89,18.62,10,-2.49,6.13,,
NMT-F0098,50,3.47,0.04,No,50,18.00,1.04,No,10,16.01,8.67,No,10,21.69,3.38,10,16.03,2.04,10,-17.38,7.41,10,29.58,4.01,10,17.18,4.12,10,112.19,4.90,10,104.59,20.59,10,-2.91,14.24,,
NMT-F0099,50,-1.45,1.89,No,50,-1.31,0.21,No,10,-8.53,4.14,No,10,18.02,1.82,10,-37.11,1.78,10,-29.48,8.69,10,13.98,3.05,10,-3.17,7.85,10,105.03,3.38,10,104.67,20.99,10,2.49,9.29,,
NMT-F0100,50,3.29,1.00,No,50,18.64,0.82,No,10,77.40,1.51,No,10,17.31,3.18,10,14.23,3.93,10,-6.70,11.38,10,98.66,1.00,10,26.86,4.74,10,104.62,0.53,10,105.84,13.37,10,-5.30,14.75,,
NMT-F0101,50,2.23,0.30,No,50,8.37,0.34,No,10,46.53,4.72,No,10,20.02,1.23,10,45.90,3.35,10,89.39,2.01,10,82.75,0.64,10,21.73,4.32,10,110.79,6.45,10,92.69,15.73,10,-7.35,10.49,,
NMT-F0102,50,-1.78,1.88,No,50,-2.00,0.65,No,10,2.08,7.02,No,10,15.65,3.06,10,8.01,2.41,10,-5.87,5.27,10,27.69,0.50,10,8.33,7.99,10,111.54,4.91,10,110.64,16.62,10,-6.94,9.06,,
NMT-F0103,50,3.50,1.29,No,50,9.25,0.32,No,10,5.99,9.71,No,10,83.91,1.30,10,14.67,2.20,10,-27.17,20.94,10,20.58,3.41,10,5.26,8.05,10,109.87,5.87,10,110.51,32.38,10,4.40,2.83,,
NMT-F0104,50,9.38,1.46,No,50,-1.26,0.47,No,10,-9.32,5.74,No,10,76.77,1.79,10,24.26,2.65,10,-14.87,3.23,10,27.27,4.44,10,-10.59,8.55,10,100.31,8.89,10,107.29,21.73,10,5.87,6.65,,
NMT-F0105,50,6.31,0.64,No,50,34.62,2.96,No,10,82.62,11.86,No,10,17.09,4.37,10,15.02,1.40,10,-2.01,6.34,10,62.43,2.90,10,7.16,12.73,10,105.22,2.34,10,106.89,24.92,10,-0.08,9.43,,
